X_Plane1_r_0,X_Plane1_r_1,X_Plane1_r_2,X_Plane1_dr_0,X_Plane1_dr_1,X_Plane1_dr_2,X_Plane1_R_0,X_Plane1_R_1,X_Plane1_R_2,X_Plane1_R_3,X_Plane1_R_4,X_Plane1_R_5,X_Plane1_R_6,X_Plane1_R_7,X_Plane1_R_8,X_Plane1_omega_0,X_Plane1_omega_1,X_Plane1_omega_2,X_Plane1_thrust_0,X_Plane1_thrust_1,X_Plane1_flaps_0,X_Plane1_flaps_1,X_t_0,U_Plane1_dthrust_0,U_Plane1_dthrust_1,U_Plane1_dflaps_0,U_Plane1_dflaps_1
9.053504275e+00,4.611166191e+01,1.651349127e+01,1.585791448e+01,-2.959227054e+00,-6.369722405e-01,9.743664532e-01,-2.041511797e-01,-9.603806193e-02,1.537698226e-01,9.124308695e-01,-3.792128480e-01,1.650857378e-01,3.548821018e-01,9.203962872e-01,2.470500846e-02,2.045596224e-01,-2.306755376e-01,8.519702740e+00,8.565476520e+00,-2.345376991e-01,9.927227355e-03,4.858524266e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
9.438475219e+00,4.603888385e+01,1.649805329e+01,1.583106972e+01,-3.071401714e+00,-6.795391684e-01,9.726885617e-01,-2.110166058e-01,-9.844713380e-02,1.593257625e-01,9.114761397e-01,-3.792123472e-01,1.697996735e-01,3.533553480e-01,9.201562932e-01,2.408776095e-02,2.039258402e-01,-2.308132935e-01,8.641165772e+00,8.686939590e+00,-2.352916654e-01,9.850647636e-03,5.101450480e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
9.822790263e+00,4.596336102e+01,1.648155807e+01,1.580415555e+01,-3.183494017e+00,-7.220129492e-01,9.709558555e-01,-2.178668091e-01,-1.008417134e-01,1.648755662e-01,9.104759137e-01,-3.792402056e-01,1.744911791e-01,3.518091583e-01,9.198985443e-01,2.347102692e-02,2.033751969e-01,-2.309509906e-01,8.762628804e+00,8.808402661e+00,-2.360456316e-01,9.774067917e-03,5.344376693e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.020644691e+01,4.588508967e+01,1.646400113e+01,1.577716834e+01,-3.295529580e+00,-7.644235938e-01,9.691678361e-01,-2.247022056e-01,-1.032237868e-01,1.704187579e-01,9.094302827e-01,-3.792963657e-01,1.791624127e-01,3.502427956e-01,9.196227643e-01,2.285497590e-02,2.029096495e-01,-2.310886183e-01,8.884091836e+00,8.929865731e+00,-2.367995978e-01,9.697488197e-03,5.587302906e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.058944267e+01,4.580406605e+01,1.644537800e+01,1.575010450e+01,-3.407534018e+00,-8.068011130e-01,9.673240047e-01,-2.315232110e-01,-1.055953405e-01,1.759548621e-01,9.083393376e-01,-3.793807702e-01,1.838155323e-01,3.486555232e-01,9.193286770e-01,2.223977744e-02,2.025311545e-01,-2.312261663e-01,9.005554869e+00,9.051328802e+00,-2.375535641e-01,9.620908478e-03,5.830229120e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.097177503e+01,4.572028642e+01,1.642568421e+01,1.572296040e+01,-3.519532949e+00,-8.491755178e-01,9.654238629e-01,-2.383302411e-01,-1.079583606e-01,1.814834029e-01,9.072031696e-01,-3.794933616e-01,1.884526961e-01,3.470466041e-01,9.190160062e-01,2.162560107e-02,2.022416689e-01,-2.313636243e-01,9.127017901e+00,9.172791872e+00,-2.383075303e-01,9.544328759e-03,6.073155333e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.135344151e+01,4.563374702e+01,1.640491527e+01,1.569573243e+01,-3.631551989e+00,-8.915768190e-01,9.634669120e-01,-2.451237118e-01,-1.103148333e-01,1.870039049e-01,9.060218696e-01,-3.796340826e-01,1.930760622e-01,3.454153013e-01,9.186844755e-01,2.101261634e-02,2.020431492e-01,-2.315009819e-01,9.248480933e+00,9.294254942e+00,-2.390614965e-01,9.467749039e-03,6.316081546e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.173443960e+01,4.554444411e+01,1.638306673e+01,1.566841699e+01,-3.743616754e+00,-9.340350275e-01,9.614526533e-01,-2.519040389e-01,-1.126667449e-01,1.925158922e-01,9.047955287e-01,-3.798028757e-01,1.976877887e-01,3.437608779e-01,9.183338088e-01,2.040099279e-02,2.019375523e-01,-2.316382287e-01,9.369943965e+00,9.415718013e+00,-2.398154628e-01,9.391169320e-03,6.559007760e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.211476681e+01,4.545237393e+01,1.636013410e+01,1.564101046e+01,-3.855752860e+00,-9.765801541e-01,9.593805883e-01,-2.586716382e-01,-1.150160816e-01,1.980188892e-01,9.035242379e-01,-3.799996835e-01,2.022900337e-01,3.420825970e-01,9.179637299e-01,1.979089996e-02,2.019268350e-01,-2.317753543e-01,9.491406997e+00,9.537181083e+00,-2.405694290e-01,9.314589601e-03,6.801933973e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.249442064e+01,4.535753273e+01,1.633611291e+01,1.561350923e+01,-3.967985924e+00,-1.019242210e+00,9.572502184e-01,-2.654269254e-01,-1.173648297e-01,2.035124203e-01,9.022080883e-01,-3.802244487e-01,2.068849554e-01,3.403797217e-01,9.175739625e-01,1.918250738e-02,2.020129539e-01,-2.319123485e-01,9.612870029e+00,9.658644154e+00,-2.413233952e-01,9.238009881e-03,7.044860186e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
